plant_uid,water_scenario,heat_scenario,country,plant_name,lat,lon,bucket,capacity_mw,commissioning_year,hazard_gfdl_esm4,hazard_miroc6,age,age_factor,age_factor_neutralized_missing_year,hazard_gfdl_esm4_aged,hazard_miroc6_aged
BRA-00c8a8e94507,opt,ssp126,Brazil,Theodorus Willibrodus t solar project,-23.9849,-48.8804,solar,1.0,2023.0,0.0939012310347814,0.0061372036891794,27.0,1.1727634601725492,False,0.1101239326228122,0.007197488234305768
BRA-00c8a8e94507,pes,ssp585,Brazil,Theodorus Willibrodus t solar project,-23.9849,-48.8804,solar,1.0,2023.0,0.1929644259335985,0.2349965955086943,27.0,1.1727634601725492,False,0.22630162784809657,0.27559542047754526
BRA-00ddb0a87f0d,bau,ssp370,Brazil,Cabeceira Grande Consorcio Alsolar solar project,-16.15,-47.27,solar,2.5,2025.0,0.137774543748181,0.6549093700995929,25.0,1.1610593998599958,False,0.15996442908024777,0.7603886802105213
BRA-00ddb0a87f0d,opt,ssp126,Brazil,Cabeceira Grande Consorcio Alsolar solar project,-16.15,-47.27,solar,2.5,2025.0,0.0809241862144756,0.6023173555391734,25.0,1.1610593998599958,False,0.09395778708033758,0.6993262273475724
BRA-00ddb0a87f0d,pes,ssp585,Brazil,Cabeceira Grande Consorcio Alsolar solar project,-16.15,-47.27,solar,2.5,2025.0,0.0675338314658035,0.6795233944447984,25.0,1.1610593998599958,False,0.0784107898319319,0.7889670245449049
BRA-00e4361a658b,bau,ssp370,Brazil,LAR Cooperativa Agroindustrial power station,-22.6107628,-54.8137603,thermal,21.5,2023.0,0.3182562458527901,0.3860603972923118,27.0,1.0,False,0.3182562458527901,0.3860603972923118
BRA-00e4361a658b,opt,ssp126,Brazil,LAR Cooperativa Agroindustrial power station,-22.6107628,-54.8137603,thermal,21.5,2023.0,0.3213272105961336,0.3770016352786358,27.0,1.0,False,0.3213272105961336,0.3770016352786358
BRA-00e4361a658b,pes,ssp585,Brazil,LAR Cooperativa Agroindustrial power station,-22.6107628,-54.8137603,thermal,21.5,2023.0,0.3703924256892913,0.3712220546260603,27.0,1.0,False,0.3703924256892913,0.3712220546260603
BRA-00e6ab212ba9,bau,ssp370,Brazil,Ibiá Ebes Sistemas de Energia II solar project,-19.51,-46.56,solar,2.5,2021.0,0.0177893317483167,0.4905699068979102,29.0,1.1843042371396817,False,0.02106798096541493,0.5809840193524142
BRA-00e6ab212ba9,opt,ssp126,Brazil,Ibiá Ebes Sistemas de Energia II solar project,-19.51,-46.56,solar,2.5,2021.0,0.0124789807765227,0.4156635780399189,29.0,1.1843042371396817,False,0.014778909808820469,0.4922721366973167
BRA-00e6ab212ba9,pes,ssp585,Brazil,Ibiá Ebes Sistemas de Energia II solar project,-19.51,-46.56,solar,2.5,2021.0,0.0383576146637449,0.4964504262034575,29.0,1.1843042371396817,False,0.04542708557284427,0.5879483432825555
BRA-00eb565215c6,bau,ssp370,Brazil,Babilonia (ArcelorMittal) wind farm,-11.4136,-41.0474,wind,554.0,2025.0,0.0290875675764646,0.8126826277629057,25.0,1.1,False,0.031996324334111065,0.8939508905391963
BRA-00eb565215c6,opt,ssp126,Brazil,Babilonia (ArcelorMittal) wind farm,-11.4136,-41.0474,wind,554.0,2025.0,0.0237497386030694,0.748680509429271,25.0,1.1,False,0.026124712463376342,0.8235485603721981
BRA-00eb565215c6,pes,ssp585,Brazil,Babilonia (ArcelorMittal) wind farm,-11.4136,-41.0474,wind,554.0,2025.0,0.0328377262261062,0.8008251857248472,25.0,1.1,False,0.03612149884871682,0.880907704297332
BRA-00f23daf6df6,bau,ssp370,Brazil,Itarumã Energea Desenvolvimento de Projetos solar project,-18.75,-51.37,solar,1.0,2024.0,0.3490307594416419,0.6143495232131216,26.0,1.1669319840609758,False,0.4072951566135443,0.7169041080300025
BRA-00f23daf6df6,opt,ssp126,Brazil,Itarumã Energea Desenvolvimento de Projetos solar project,-18.75,-51.37,solar,1.0,2024.0,0.2972213676678245,0.5828827860941391,26.0,1.1669319840609758,False,0.3468371202779312,0.6801845660518231
BRA-00f23daf6df6,pes,ssp585,Brazil,Itarumã Energea Desenvolvimento de Projetos solar project,-18.75,-51.37,solar,1.0,2024.0,0.4106343645910794,0.6677522461035611,26.0,1.1669319840609758,False,0.47918237379588635,0.7792214534068015
BRA-0105493330c9,bau,ssp370,Brazil,Consorcio Rz Mato Grosso solar project,-14.6214,-57.4907,solar,5.0,2020.0,0.5747115976174356,0.8015468351976812,30.0,1.190014107479704,False,0.6839149088969474,0.95385204169095
BRA-0105493330c9,opt,ssp126,Brazil,Consorcio Rz Mato Grosso solar project,-14.6214,-57.4907,solar,5.0,2020.0,0.5499290522571512,0.7753084089456145,30.0,1.190014107479704,False,0.6544233302989532,0.9226279442929247
