plant_uid,water_scenario,heat_scenario,country,plant_name,lat,lon,bucket,capacity_mw,commissioning_year,hazard_gfdl_esm4,hazard_miroc6,age,age_factor,age_factor_neutralized_missing_year,n_events,rate,event_multiplier,ccrs_gfdl_esm4,ccrs_miroc6,water_risk_band,heat_risk_band_gfdl_esm4,heat_risk_band_miroc6
BRA-ce17002d6d25,pes,ssp585,Brazil,REB Cassino wind farm,-32.2103,-52.212,wind,20.0,2015.0,0.0309879698653775,0.2284172929632872,35.0,1.1400000000000001,False,239,1.9274193548387097,1.1921221864951768,0.04211324888569495,0.3104235079016018,Low,LOW,LOW
BRA-ce25a72e460c,bau,ssp370,Brazil,Banco Bradesco solar project,-15.5926,-43.6085,solar,1.0,2020.0,0.053050810013508,0.6008497277956366,30.0,1.190014107479704,False,239,1.9274193548387097,1.1921221864951768,0.07526011887809646,0.8523907915874878,High,MEDIUM,MEDIUM
BRA-ce25a72e460c,opt,ssp126,Brazil,Banco Bradesco solar project,-15.5926,-43.6085,solar,1.0,2020.0,0.0300343341120651,0.5547509649259442,30.0,1.190014107479704,False,239,1.9274193548387097,1.1921221864951768,0.042607974414018146,0.7869931403014313,High,MEDIUM,MEDIUM
BRA-ce25a72e460c,pes,ssp585,Brazil,Banco Bradesco solar project,-15.5926,-43.6085,solar,1.0,2020.0,0.0768432184991046,0.6393173502839479,30.0,1.190014107479704,False,239,1.9274193548387097,1.1921221864951768,0.1090130340657495,0.9069625849435343,High,MEDIUM,MEDIUM
BRA-ce314e59a246,bau,ssp370,Brazil,Ventos Da Bahia wind farm,-12.0324,-41.4565,wind,27.0,2017.0,0.0216372520456131,0.8126826277629057,33.0,1.1320000000000001,False,239,1.9274193548387097,1.1921221864951768,0.029199088983187512,1.0967008339652287,Low-Medium,LOW,MEDIUM
BRA-ce314e59a246,opt,ssp126,Brazil,Ventos Da Bahia wind farm,-12.0324,-41.4565,wind,27.0,2017.0,0.0148842991799248,0.748680509429271,33.0,1.1320000000000001,False,239,1.9274193548387097,1.1921221864951768,0.020086098516152603,1.0103311071442487,Low-Medium,LOW,MEDIUM
BRA-ce314e59a246,pes,ssp585,Brazil,Ventos Da Bahia wind farm,-12.0324,-41.4565,wind,27.0,2017.0,0.0216372520456131,0.8008251857248472,33.0,1.1320000000000001,False,239,1.9274193548387097,1.1921221864951768,0.029199088983187512,1.0806994256323967,Low-Medium,LOW,MEDIUM
BRA-ce32678ceda5,bau,ssp370,Brazil,Rio Paranaíba Consorcio Energia Livre solar project,-19.35,-46.25,solar,1.7,2024.0,0.0177893317483167,0.4905699068979102,26.0,1.1669319840609758,False,239,1.9274193548387097,1.1921221864951768,0.024747193171226742,0.6824443111047194,Low-Medium,MEDIUM,LOW
BRA-ce32678ceda5,opt,ssp126,Brazil,Rio Paranaíba Consorcio Energia Livre solar project,-19.35,-46.25,solar,1.7,2024.0,0.0124789807765227,0.4156635780399189,26.0,1.1669319840609758,False,239,1.9274193548387097,1.1921221864951768,0.017359828476179506,0.5782402062950177,Low-Medium,LOW,LOW
BRA-ce32678ceda5,pes,ssp585,Brazil,Rio Paranaíba Consorcio Energia Livre solar project,-19.35,-46.25,solar,1.7,2024.0,0.0383576146637449,0.4964504262034575,26.0,1.1669319840609758,False,239,1.9274193548387097,1.1921221864951768,0.053360256197425515,0.6906248515128928,Low-Medium,MEDIUM,LOW
BRA-ce3da0e6cbd7,bau,ssp370,Brazil,Cafezal do Sul Private Installation solar project,-23.9005,-53.5124,solar,1.0,2024.0,0.4047181361466332,0.5536423530779656,26.0,1.1669319840609758,False,239,1.9274193548387097,1.1921221864951768,0.563013722877325,0.7701859998585608,Low,MEDIUM,MEDIUM
BRA-ce3da0e6cbd7,opt,ssp126,Brazil,Cafezal do Sul Private Installation solar project,-23.9005,-53.5124,solar,1.0,2024.0,0.3865931317795551,0.5657056045677723,26.0,1.1669319840609758,False,239,1.9274193548387097,1.1921221864951768,0.5377995669636914,0.7869674967194299,Low,MEDIUM,MEDIUM
BRA-ce3da0e6cbd7,pes,ssp585,Brazil,Cafezal do Sul Private Installation solar project,-23.9005,-53.5124,solar,1.0,2024.0,0.5140077383404726,0.595412125402901,26.0,1.1669319840609758,False,239,1.9274193548387097,1.1921221864951768,0.7150492762844052,0.8282929956169118,Low,MEDIUM,MEDIUM
BRA-ce410984df52,bau,ssp370,Brazil,Novo Horizonte wind farm,-12.7709,-42.0307,wind,45.0,2024.0,0.0216372520456131,0.7855148644145792,26.0,1.104,False,239,1.9274193548387097,1.1921221864951768,0.028476850033073334,1.033818386250169,Low-Medium,LOW,MEDIUM
BRA-ce410984df52,opt,ssp126,Brazil,Novo Horizonte wind farm,-12.7709,-42.0307,wind,45.0,2024.0,0.0148842991799248,0.7232596815349293,26.0,1.104,False,239,1.9274193548387097,1.1921221864951768,0.01958926922423363,0.9518841599025686,Low-Medium,LOW,MEDIUM
BRA-ce410984df52,pes,ssp585,Brazil,Novo Horizonte wind farm,-12.7709,-42.0307,wind,45.0,2024.0,0.0216372520456131,0.78784000536975,26.0,1.104,False,239,1.9274193548387097,1.1921221864951768,0.028476850033073334,1.036878510989973,Low-Medium,LOW,MEDIUM
BRA-ce6b029d847d,bau,ssp370,Brazil,Pirapora Consorcio Cemig Sim Gd I V solar project,-17.33,-44.88,solar,1.0,2021.0,0.0408737029286944,0.5546266676720272,29.0,1.1843042371396817,False,239,1.9274193548387097,1.1921221864951768,0.057706938952121686,0.7830415391628109,Low-Medium,MEDIUM,MEDIUM
BRA-ce6b029d847d,opt,ssp126,Brazil,Pirapora Consorcio Cemig Sim Gd I V solar project,-17.33,-44.88,solar,1.0,2021.0,0.0382871863450188,0.4897550346639265,29.0,1.1843042371396817,False,239,1.9274193548387097,1.1921221864951768,0.054055203388715375,0.6914534740380619,Low-Medium,MEDIUM,LOW
BRA-ce6b029d847d,pes,ssp585,Brazil,Pirapora Consorcio Cemig Sim Gd I V solar project,-17.33,-44.88,solar,1.0,2021.0,0.0622664678825738,0.5844058221300131,29.0,1.1843042371396817,False,239,1.9274193548387097,1.1921221864951768,0.08791000089060703,0.8250848023178697,Low-Medium,MEDIUM,MEDIUM
BRA-ce6d5db81182,bau,ssp370,Brazil,Arapongas Copel Distribuição solar project,-23.4153,-51.4294,solar,1.1,2024.0,0.2110642233684046,0.5957809714898985,26.0,1.1669319840609758,False,239,1.9274193548387097,1.1921221864951768,0.29361682502363273,0.8288061068171817,Low-Medium,MEDIUM,MEDIUM
BRA-ce6d5db81182,opt,ssp126,Brazil,Arapongas Copel Distribuição solar project,-23.4153,-51.4294,solar,1.1,2024.0,0.2013851750965438,0.5796241909974791,26.0,1.1669319840609758,False,239,1.9274193548387097,1.1921221864951768,0.28015205407629046,0.8063299973416896,Low-Medium,MEDIUM,MEDIUM
BRA-ce6d5db81182,pes,ssp585,Brazil,Arapongas Copel Distribuição solar project,-23.4153,-51.4294,solar,1.1,2024.0,0.3437585169177499,0.6227003514672492,26.0,1.1669319840609758,False,239,1.9274193548387097,1.1921221864951768,0.478211241589946,0.8662543429721001,Low-Medium,MEDIUM,MEDIUM
BRA-ce9445522d87,bau,ssp370,Brazil,Caldas Novas Private Installation solar project,-17.73,-48.64,solar,1.3,2025.0,0.1083841336502996,0.5853659188780925,25.0,1.1610593998599958,False,239,1.9274193548387097,1.1921221864951768,0.15001715326659765,0.8102194095374848,Low-Medium,MEDIUM,MEDIUM
BRA-ce9445522d87,opt,ssp126,Brazil,Caldas Novas Private Installation solar project,-17.73,-48.64,solar,1.3,2025.0,0.0835306903037424,0.54729185870519,25.0,1.1610593998599958,False,239,1.9274193548387097,1.1921221864951768,0.11561688918594393,0.7575201635494242,Low-Medium,MEDIUM,MEDIUM
BRA-ce9445522d87,pes,ssp585,Brazil,Caldas Novas Private Installation solar project,-17.73,-48.64,solar,1.3,2025.0,0.1540573000911845,0.6240789599394594,25.0,1.1610593998599958,False,239,1.9274193548387097,1.1921221864951768,0.21323450971325425,0.8638030847371906,Low-Medium,MEDIUM,MEDIUM
BRA-ce9a25cb96cb,bau,ssp370,Brazil,Dardanelos hydroelectric plant,-10.1633,-59.4642,hydro,261.0,2011.0,0.2207174403148231,0.3490548051354777,39.0,1.2145000000000001,False,239,1.9274193548387097,1.1921221864951768,0.3195618603392838,0.5053728546795232,Low,HIGH,LOW
BRA-ce9a25cb96cb,opt,ssp126,Brazil,Dardanelos hydroelectric plant,-10.1633,-59.4642,hydro,261.0,2011.0,0.1408959951711089,0.3534953614628628,39.0,1.2145000000000001,False,239,1.9274193548387097,1.1921221864951768,0.2039937862047165,0.5118020359843467,Low,MEDIUM,LOW
BRA-ce9a25cb96cb,pes,ssp585,Brazil,Dardanelos hydroelectric plant,-10.1633,-59.4642,hydro,261.0,2011.0,0.3797509730107006,0.4339033581609147,39.0,1.2145000000000001,False,239,1.9274193548387097,1.1921221864951768,0.549815760946928,0.628219338460914,Low,HIGH,MEDIUM
BRA-cea6bc9d90b8,bau,ssp370,Brazil,Cooperval power station,-23.6819097,-51.6831346,thermal,4.0,2022.0,0.2177121044433906,0.3121307946577329,28.0,1.0,False,239,1.9274193548387097,1.1921221864951768,0.2595394299755211,0.3720980453998536,Low-Medium,MEDIUM,MEDIUM
BRA-cea6bc9d90b8,opt,ssp126,Brazil,Cooperval power station,-23.6819097,-51.6831346,thermal,4.0,2022.0,0.1702492001856766,0.262548781373572,28.0,1.0,False,239,1.9274193548387097,1.1921221864951768,0.20295784877440384,0.3129902273127068,Low-Medium,MEDIUM,MEDIUM
BRA-cea6bc9d90b8,pes,ssp585,Brazil,Cooperval power station,-23.6819097,-51.6831346,thermal,4.0,2022.0,0.2350046959017763,0.3147146670108884,28.0,1.0,False,239,1.9274193548387097,1.1921221864951768,0.2801543119150597,0.3751783369591218,Low-Medium,MEDIUM,MEDIUM
BRA-ceb6fa8d9127,bau,ssp370,Brazil,Pains Cooperativa Nuv Geracao solar project,-20.3673,-45.6633,solar,1.0,2023.0,0.0291837058095261,0.2893621089802082,27.0,1.1727634601725492,False,239,1.9274193548387097,1.1921221864951768,0.04080107780068898,0.40455060773053464,Low-Medium,MEDIUM,LOW
BRA-ceb6fa8d9127,opt,ssp126,Brazil,Pains Cooperativa Nuv Geracao solar project,-20.3673,-45.6633,solar,1.0,2023.0,0.0216372520456131,0.2468459656332064,27.0,1.1727634601725492,False,239,1.9274193548387097,1.1921221864951768,0.030250551793117617,0.34510975111663517,Low-Medium,LOW,LOW
BRA-ceb6fa8d9127,pes,ssp585,Brazil,Pains Cooperativa Nuv Geracao solar project,-20.3673,-45.6633,solar,1.0,2023.0,0.0411549197903815,0.3366472156032979,27.0,1.1727634601725492,False,239,1.9274193548387097,1.1921221864951768,0.05753776080419368,0.4706588438378491,Low-Medium,MEDIUM,LOW
BRA-cebee2399245,bau,ssp370,Brazil,Brisa Potiguar wind farm,-5.2622,-35.8145,wind,27.0,2015.0,0.0148842991799248,0.0215333087977755,35.0,1.1400000000000001,False,239,1.9274193548387097,1.1921221864951768,0.020228049742415165,0.02926418208978715,Medium-High,LOW,LOW
BRA-cebee2399245,opt,ssp126,Brazil,Brisa Potiguar wind farm,-5.2622,-35.8145,wind,27.0,2015.0,0.0290875675764646,0.0305504920208604,35.0,1.1400000000000001,False,239,1.9274193548387097,1.1921221864951768,0.039530565511352554,0.04151870805490917,Low-Medium,LOW,LOW
